ChEMBL_ID,Name,SMILES,pChEMBL_value,activity_type,source
CHEMBL480,LANSOPRAZOLE,Cc1c(OCC(F)(F)F)ccnc1C[S+]([O-])c1nc2ccccc2[nH]1,6.41,IC50,SARS-CoV-2_Mpro
CHEMBL178459,OLTIPRAZ,Cc1c(-c2cnccn2)ssc1=S,6.68,IC50,SARS-CoV-2_Mpro
CHEMBL3545157,TIDEGLUSIB,O=c1sn(-c2cccc3ccccc23)c(=O)n1Cc1ccccc1,7.1,IC50,SARS-CoV-2_Mpro
CHEMBL297453,EPIGALOCATECHIN GALLATE,O=C(O[C@@H]1Cc2c(O)cc(O)cc2O[C@@H]1c1cc(O)c(O)c(O)c1)c1cc(O)c(O)c(O)c1,6.14,IC50,SARS-CoV-2_Mpro
CHEMBL4303595,Unknown,O=C1C=Cc2cc(Br)ccc2C1=O,7.4,IC50,SARS-CoV-2_Mpro
CHEMBL444186,RAZOXANE,CC(CN1CC(=O)NC(=O)C1)N1CC(=O)NC(=O)C1,5.5,IC50,SARS-CoV-2_Mpro
CHEMBL55400,PROFLAVINE,Nc1ccc2cc3ccc(N)cc3nc2c1,6.44,IC50,SARS-CoV-2_Mpro
CHEMBL1886408,Unknown,CCOC(=O)Cc1ccc(-c2ccccc2)cc1,6.7,IC50,SARS-CoV-2_Mpro
CHEMBL505670,Unknown,O=[N+]([O-])c1ccc(Sc2cccc[n+]2[O-])c2nonc12,7.0,IC50,SARS-CoV-2_Mpro
CHEMBL460499,CARMOFUR,CCCCCCNC(=O)n1cc(F)c(=O)[nH]c1=O,6.8,IC50,SARS-CoV-2_Mpro
CHEMBL1271993,Unknown,O=C1C(Cl)=C(N2CCOCC2)C(=O)N1c1ccc(Cl)c(Cl)c1,5.94,IC50,SARS-CoV-2_Mpro
CHEMBL3665060,Unknown,CN1CCN(C(=O)c2ccc(-c3ccc4c(C=O)c(O)ccc4c3)s2)CC1,5.88,IC50,SARS-CoV-2_Mpro
CHEMBL1096979,BENSERAZIDE,NC(CO)C(=O)NNCc1ccc(O)c(O)c1O,6.85,IC50,SARS-CoV-2_Mpro
CHEMBL164,MYRICETIN,O=c1c(O)c(-c2cc(O)c(O)c(O)c2)oc2cc(O)cc(O)c12,6.66,IC50,SARS-CoV-2_Mpro
CHEMBL1422849,Unknown,CCN1CCN(C(c2ccc(C(F)(F)F)cc2)c2ccc3cccnc3c2O)CC1,6.82,IC50,SARS-CoV-2_Mpro
CHEMBL284861,Unknown,Cn1sc(=O)n(Cc2ccccc2)c1=O,6.85,IC50,SARS-CoV-2_Mpro
CHEMBL286080,SKF-38393,Oc1cc2c(cc1O)C(c1ccccc1)CNCC2,5.55,IC50,SARS-CoV-2_Mpro
CHEMBL3963349,Unknown,COC(=O)CC[C@H](NC(=O)[C@H](CC(=O)OC)NC(=O)OCc1ccccc1)C(=O)N[C@H](C(=O)N[C@@H](CC(=O)OC)C(=O)CF)C(C)C,8.0,IC50,SARS-CoV-2_Mpro
CHEMBL3797437,Unknown,Oc1cc2c(cc1C(c1ccc(C(F)(F)F)cc1)N1CCOCC1)OCO2,6.27,IC50,SARS-CoV-2_Mpro
CHEMBL289356,Unknown,Sc1nnc(Nc2ccccc2)s1,6.41,IC50,SARS-CoV-2_Mpro
CHEMBL1725120,Unknown,Cc1ccc(C)c(-n2sc3cc(F)ccc3c2=O)c1,7.7,IC50,SARS-CoV-2_Mpro
CHEMBL1356238,PYRITHIONE,[O-][n+]1ccccc1S,7.3,IC50,SARS-CoV-2_Mpro
CHEMBL105712,PHENACYL CHLORIDE,O=C(CCl)c1ccccc1,6.72,IC50,SARS-CoV-2_Mpro
CHEMBL508112,BENZOTHIAZYL DISULFIDE,c1ccc2sc(SSc3nc4ccccc4s3)nc2c1,6.8,IC50,SARS-CoV-2_Mpro
CHEMBL243652,Unknown,O=C(CC1Sc2ncnn2C1=O)Nc1ccc(Br)cc1,5.69,IC50,SARS-CoV-2_Mpro
CHEMBL259018,Unknown,CC(C)(C)OC(=O)NCCc1nnc(S(=O)(=O)Cc2ccc(Cl)cc2Cl)o1,5.38,IC50,SARS-CoV-2_Mpro
CHEMBL449298,Unknown,Nc1ccc(O)c2ncccc12,5.69,IC50,SARS-CoV-2_Mpro
CHEMBL566136,Unknown,CCOC(=O)c1c(N)sc(-c2ccccc2)c1C,5.5,IC50,SARS-CoV-2_Mpro
CHEMBL1608472,Unknown,Cc1cc(C)cc(N2C(=O)CC(Sc3nc[nH]n3)C2=O)c1,5.5,IC50,SARS-CoV-2_Mpro
CHEMBL60718,TPCK,Cc1ccc(S(=O)(=O)N[C@@H](Cc2ccccc2)C(=O)CCl)cc1,5.86,IC50,SARS-CoV-2_Mpro
CHEMBL1917204,Unknown,Cc1ccc(-n2sc(=O)n(Cc3ccc(F)cc3)c2=O)cc1,6.82,IC50,SARS-CoV-2_Mpro
CHEMBL226652,Unknown,Sc1nnnn1-c1ccccc1,5.63,IC50,SARS-CoV-2_Mpro
CHEMBL119171,Unknown,Nc1nc(S)c2ncn(C3OC(CO)C(O)C3O)c2n1,5.97,IC50,SARS-CoV-2_Mpro
CHEMBL66953,PURPUROGALLIN,O=c1c(O)cccc2cc(O)c(O)c(O)c12,5.34,IC50,SARS-CoV-2_Mpro
CHEMBL4303154,Unknown,C/C=C1\C(OC2OC(CO)C(O)C(O)C2O)OC=C(C(=O)OC)C1CC(=O)OCCc1ccc(O)c(O)c1,5.47,IC50,SARS-CoV-2_Mpro
CHEMBL4303503,Unknown,C=C1C(=O)[C@]23[C@H](O)[C@H]1CC[C@@H]2[C@@]12CO[C@]3(O)C[C@@H]1C(C)(C)CC[C@@H]2O,5.59,IC50,SARS-CoV-2_Mpro
CHEMBL2368547,Sennoside A,O=C(O)c1cc(O)c2c(c1)[C@H]([C@H]1c3cc(C(=O)O)cc(O)c3C(=O)c3c(O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)cccc31)c1cccc(O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)c1C2=O,5.8,IC50,SARS-CoV-2_Mpro
CHEMBL1200930,RABEPRAZOLE SODIUM,COCCCOc1ccnc(C[S+]([O-])c2nc3ccccc3[n-]2)c1C.[Na+],6.13,IC50,SARS-CoV-2_Mpro
CHEMBL1475252,TENATOPRAZOLE,COc1ccc2[nH]c([S+]([O-])Cc3ncc(C)c(OC)c3C)nc2n1,6.01,IC50,SARS-CoV-2_Mpro
CHEMBL271023,Unknown,[O-][S+](c1ccccc1)c1ccc2nnnn2n1,5.95,IC50,SARS-CoV-2_Mpro
CHEMBL406050,PX-12,CCC(C)SSc1ncc[nH]1,6.85,IC50,SARS-CoV-2_Mpro
CHEMBL1255778,BENSERAZIDE HYDROCHLORIDE,Cl.NC(CO)C(=O)NNCc1ccc(O)c(O)c1O,6.85,IC50,SARS-CoV-2_Mpro
CHEMBL1201236,CARBIDOPA ANHYDROUS,C[C@@](Cc1ccc(O)c(O)c1)(NN)C(=O)O,5.45,IC50,SARS-CoV-2_Mpro
CHEMBL388676,CAPTAN,O=C1C2CC=CCC2C(=O)N1SC(Cl)(Cl)Cl,6.17,IC50,SARS-CoV-2_Mpro
CHEMBL52,NORDIHYDROGUAIARETIC ACID,CC(Cc1ccc(O)c(O)c1)C(C)Cc1ccc(O)c(O)c1,5.59,IC50,SARS-CoV-2_Mpro
CHEMBL505308,Unknown,Br.Oc1cc2c(cc1O)C(c1ccccc1)CNCC2,5.58,IC50,SARS-CoV-2_Mpro
CHEMBL4303376,Unknown,Cc1ccccc1N(C)C(=O)c1ccc([S+]([O-])c2nccs2)c([N+](=O)[O-])c1,5.73,IC50,SARS-CoV-2_Mpro
CHEMBL28,APIGENIN,O=c1cc(-c2ccc(O)cc2)oc2cc(O)cc(O)c12,5.52,IC50,SARS-CoV-2_Mpro
CHEMBL3348861,AMPELOPSIN,O=C1c2c(O)cc(O)cc2O[C@H](c2cc(O)c(O)c(O)c2)[C@H]1O,6.75,IC50,SARS-CoV-2_Mpro
CHEMBL488755,Unknown,CN(C)CCNc1nc2cc(O)ccc2c2c1C(=O)c1ccccc1-2,5.52,IC50,SARS-CoV-2_Mpro
CHEMBL1256915,Unknown,CN1CC[C@@]2(C)c3cc(O)ccc3N(C)[C@@H]12.O=C(O)/C=C/C(=O)O,5.7,IC50,SARS-CoV-2_Mpro
CHEMBL3545085,XL-228,CC(C)c1cc(CNc2nc(Nc3cc(C4CC4)[nH]n3)cc(N3CCN(C)CC3)n2)on1,5.83,IC50,SARS-CoV-2_Mpro
CHEMBL403183,Unknown,Cc1ccc(S(=O)(=O)/C=C/C#N)cc1,6.09,IC50,SARS-CoV-2_Mpro
CHEMBL1200471,PYRITHIONE ZINC,[O-][n+]1ccccc1[S-].[O-][n+]1ccccc1[S-].[Zn+2],5.61,IC50,SARS-CoV-2_Mpro
CHEMBL3747259,Unknown,O=C(/C=C/c1ccc(O)c2c1[C@@H](C(=O)O[C@H](Cc1ccc(O)c(O)c1)C(=O)O)[C@H](c1ccc(O)c(O)c1)O2)O[C@H](Cc1ccc(O)c(O)c1)C(=O)O,5.47,IC50,SARS-CoV-2_Mpro
CHEMBL324842,ROSMARINIC ACID,O=C(/C=C/c1ccc(O)c(O)c1)O[C@H](Cc1ccc(O)c(O)c1)C(=O)O,5.41,IC50,SARS-CoV-2_Mpro
CHEMBL1380480,VANITIOLIDE,COc1cc(C(=S)N2CCOCC2)ccc1O,5.88,IC50,SARS-CoV-2_Mpro
CHEMBL1161936,Unknown,O=C(O)c1ccc(SSc2ccc(C(=O)O)cn2)nc1,6.62,IC50,SARS-CoV-2_Mpro
CHEMBL120563,THIRAM,CN(C)C(=S)SSC(=S)N(C)C,7.3,IC50,SARS-CoV-2_Mpro
